"","query","noutputs","bin_range_min","bin_range_max"
13,"[^\n]* PREFIX [^\n]* WHERE [^\n]*\n[^\n]* PREFIX [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*",43595,10000,100000
14,"[^\n]* SELECT [^\n]*\n[^\n]* PREFIX [^\n]* SELECT [^\n]* FILTER [^\n]*",19964,10000,100000
15,"[^\n]* PREFIX [^\n]* DISTINCT [^\n]*\n[^\n]* FILTER [^\n]*",19731,10000,100000
16,"[^\n]* PREFIX [^\n]* SELECT [^\n]*\n[^\n]* PREFIX [^\n]* WHERE [^\n]* FILTER [^\n]*",19683,10000,100000
17,"[^\n]* DISTINCT [^\n]* OPTIONAL [^\n]*\n[^\n]* PREFIX [^\n]* DISTINCT [^\n]* OPTIONAL [^\n]*",54686,10000,100000
18,"[^\n]* DISTINCT [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*\n[^\n]* WHERE [^\n]* FILTER [^\n]*",17700,10000,100000
19,"[^\n]* PREFIX [^\n]* OPTIONAL [^\n]*\n[^\n]* DISTINCT [^\n]*",73918,10000,100000
20,"[^\n]* PREFIX [^\n]* PREFIX [^\n]*\n[^\n]* OPTIONAL [^\n]* FILTER [^\n]*",19255,10000,100000
21,"[^\n]* SELECT [^\n]* WHERE [^\n]*\n[^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*",45127,10000,100000
22,"[^\n]* PREFIX [^\n]* PREFIX [^\n]*\n[^\n]* DISTINCT [^\n]* OPTIONAL [^\n]*",73880,10000,100000
23,"[^\n]* SELECT [^\n]* OPTIONAL [^\n]*\n[^\n]* WHERE [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*",41771,10000,100000
24,"[^\n]* PREFIX [^\n]* FILTER [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]*",20080,10000,100000
25,"[^\n]* PREFIX [^\n]* WHERE [^\n]*\n[^\n]* PREFIX [^\n]*",94438,10000,100000
26,"[^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*\n[^\n]* WHERE [^\n]* FILTER [^\n]*",17700,10000,100000
27,"[^\n]* PREFIX [^\n]* PREFIX [^\n]* SELECT [^\n]*\n[^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*",43333,10000,100000
28,"[^\n]* PREFIX [^\n]* WHERE [^\n]*\n[^\n]* WHERE [^\n]* OPTIONAL [^\n]*",74484,10000,100000
29,"[^\n]* PREFIX [^\n]* DISTINCT [^\n]* WHERE [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]*",95288,10000,100000
30,"[^\n]* WHERE [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*\n[^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*",18918,10000,100000
31,"[^\n]* DISTINCT [^\n]* WHERE [^\n]* OPTIONAL [^\n]*\n[^\n]* PREFIX [^\n]* SELECT [^\n]*",74226,10000,100000
32,"[^\n]* WHERE [^\n]*\n[^\n]* PREFIX [^\n]* PREFIX [^\n]* SELECT [^\n]*",99675,10000,100000
33,"[^\n]* SELECT [^\n]*\n[^\n]* DISTINCT [^\n]* WHERE [^\n]*",95742,10000,100000
0,"[^\n]* PREFIX [^\n]* PREFIX [^\n]* WHERE [^\n]*\n[^\n]* SELECT [^\n]* LIMIT [^\n]*",2243,1000,10000
1,"[^\n]* PREFIX [^\n]* ORDER BY [^\n]*\n[^\n]* PREFIX [^\n]* PREFIX [^\n]* PREFIX [^\n]*",1919,1000,10000
2,"[^\n]* WHERE [^\n]* GROUP BY [^\n]*\n[^\n]* PREFIX [^\n]* OPTIONAL [^\n]*",2266,1000,10000
3,"[^\n]* FILTER [^\n]*\n[^\n]* PREFIX [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*",1302,1000,10000
4,"[^\n]* DISTINCT [^\n]* GROUP BY [^\n]*\n[^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*",1012,1000,10000
5,"[^\n]* PREFIX [^\n]* SELECT [^\n]*\n[^\n]* WHERE [^\n]* LIMIT [^\n]*",3747,1000,10000
6,"[^\n]* PREFIX [^\n]* PREFIX [^\n]* DISTINCT [^\n]*\n[^\n]* WHERE [^\n]* GROUP BY [^\n]* ORDER BY [^\n]*",1900,1000,10000
7,"[^\n]* PREFIX [^\n]* WHERE [^\n]* OPTIONAL [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]* ORDER BY [^\n]*",1858,1000,10000
8,"[^\n]* PREFIX [^\n]* OPTIONAL [^\n]* ORDER BY [^\n]*\n[^\n]* PREFIX [^\n]* SELECT [^\n]* OPTIONAL [^\n]*",1888,1000,10000
9,"[^\n]* PREFIX [^\n]* PREFIX [^\n]* WHERE [^\n]*\n[^\n]* PREFIX [^\n]* OPTIONAL [^\n]* GROUP BY [^\n]*",1918,1000,10000
10,"[^\n]* PREFIX [^\n]* WHERE [^\n]*\n[^\n]* GROUP BY [^\n]* ORDER BY [^\n]*",1942,1000,10000
11,"[^\n]* WHERE [^\n]* ORDER BY [^\n]*\n[^\n]* PREFIX [^\n]* SELECT [^\n]*",2013,1000,10000
12,"[^\n]* PREFIX [^\n]* PREFIX [^\n]* OPTIONAL [^\n]*\n[^\n]* SELECT [^\n]* LIMIT [^\n]*",1980,1000,10000
13,"[^\n]* WHERE [^\n]* LIMIT [^\n]*\n[^\n]* PREFIX [^\n]* OPTIONAL [^\n]*",2570,1000,10000
14,"[^\n]* PREFIX [^\n]* WHERE [^\n]* GROUP BY [^\n]*\n[^\n]* PREFIX [^\n]* SELECT [^\n]*",2016,1000,10000
15,"[^\n]* GROUP BY [^\n]* ORDER BY [^\n]*\n[^\n]* PREFIX [^\n]* DISTINCT [^\n]*",1917,1000,10000
16,"[^\n]* DISTINCT [^\n]* WHERE [^\n]* OPTIONAL [^\n]*\n[^\n]* LIMIT [^\n]*",3152,1000,10000
17,"[^\n]* ORDER BY [^\n]*\n[^\n]* DISTINCT [^\n]* OPTIONAL [^\n]*",1930,1000,10000
18,"[^\n]* WHERE [^\n]* FILTER [^\n]*\n[^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*",1302,1000,10000
19,"[^\n]* WHERE [^\n]* GROUP BY [^\n]* ORDER BY [^\n]*\n[^\n]* PREFIX [^\n]* DISTINCT [^\n]*",1917,1000,10000
20,"[^\n]* PREFIX [^\n]* PREFIX [^\n]*\n[^\n]* WHERE [^\n]* GROUP BY [^\n]*",2098,1000,10000
21,"[^\n]* PREFIX [^\n]* FILTER [^\n]*\n[^\n]* PREFIX [^\n]* DISTINCT [^\n]* OPTIONAL [^\n]*",1451,1000,10000
22,"[^\n]* PREFIX [^\n]* SELECT [^\n]*\n[^\n]* GROUP BY [^\n]* ORDER BY [^\n]*",1942,1000,10000
23,"[^\n]* PREFIX [^\n]* SELECT [^\n]* OPTIONAL [^\n]*\n[^\n]* DISTINCT [^\n]* GROUP BY [^\n]*",1838,1000,10000
24,"[^\n]* SELECT [^\n]* WHERE [^\n]*\n[^\n]* DISTINCT [^\n]* GROUP BY [^\n]*",2044,1000,10000
25,"[^\n]* DISTINCT [^\n]* OPTIONAL [^\n]*\n[^\n]* SELECT [^\n]* ORDER BY [^\n]*",1868,1000,10000
26,"[^\n]* PREFIX [^\n]* GROUP BY [^\n]*\n[^\n]* PREFIX [^\n]* OPTIONAL [^\n]*",1938,1000,10000
27,"[^\n]* DISTINCT [^\n]* WHERE [^\n]* FILTER [^\n]*\n[^\n]* DISTINCT [^\n]* WHERE [^\n]* OPTIONAL [^\n]*",1205,1000,10000
28,"[^\n]* SELECT [^\n]* OPTIONAL [^\n]* ORDER BY [^\n]*\n[^\n]* PREFIX [^\n]* SELECT [^\n]*",1948,1000,10000
29,"[^\n]* PREFIX [^\n]* PREFIX [^\n]* PREFIX [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]* ORDER BY [^\n]*",1930,1000,10000
30,"[^\n]* SELECT [^\n]* WHERE [^\n]* GROUP BY [^\n]*\n[^\n]* PREFIX [^\n]* PREFIX [^\n]* DISTINCT [^\n]*",2283,1000,10000
31,"[^\n]* SELECT [^\n]* GROUP BY [^\n]*\n[^\n]* PREFIX [^\n]* PREFIX [^\n]* WHERE [^\n]*",2317,1000,10000
32,"[^\n]* SELECT [^\n]* OPTIONAL [^\n]* FILTER [^\n]*\n[^\n]* DISTINCT [^\n]* OPTIONAL [^\n]*",1279,1000,10000
33,"[^\n]* SELECT [^\n]* OPTIONAL [^\n]* ORDER BY [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]* OPTIONAL [^\n]*",1894,1000,10000
0,"[^\n]* SELECT [^\n]* ORDER BY [^\n]*\n[^\n]* WHERE [^\n]* LIMIT [^\n]*",347,100,1000
1,"[^\n]* PREFIX [^\n]* PREFIX [^\n]* FILTER [^\n]*\n[^\n]* WHERE [^\n]* LIMIT [^\n]*",137,100,1000
2,"[^\n]* WHERE [^\n]* GROUP BY [^\n]*\n[^\n]* SELECT [^\n]* FILTER [^\n]*",147,100,1000
3,"[^\n]* DISTINCT [^\n]* WHERE [^\n]* OPTIONAL [^\n]*\n[^\n]* AS [^\n]*",916,100,1000
4,"[^\n]* WHERE [^\n]* ORDER BY [^\n]*\n[^\n]* PREFIX [^\n]* WHERE [^\n]* GROUP BY [^\n]*",839,100,1000
5,"[^\n]* WHERE [^\n]* ORDER BY [^\n]*\n[^\n]* WHERE [^\n]* ORDER BY [^\n]*",869,100,1000
6,"[^\n]* DISTINCT [^\n]* OPTIONAL [^\n]* FILTER [^\n]*\n[^\n]* SELECT [^\n]* FILTER [^\n]*",305,100,1000
7,"[^\n]* WHERE [^\n]* GROUP BY [^\n]*\n[^\n]* PREFIX [^\n]* OPTIONAL [^\n]* GROUP BY [^\n]*",861,100,1000
8,"[^\n]* SELECT [^\n]* OPTIONAL [^\n]* FILTER [^\n]*\n[^\n]* WHERE [^\n]* LIMIT [^\n]*",199,100,1000
9,"[^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]* FILTER [^\n]*\n[^\n]* FILTER [^\n]*",306,100,1000
10,"[^\n]* WHERE [^\n]* ORDER BY [^\n]*\n[^\n]* ORDER BY [^\n]*",869,100,1000
11,"[^\n]* DISTINCT [^\n]* WHERE [^\n]* FILTER [^\n]*\n[^\n]* DISTINCT [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*",733,100,1000
12,"[^\n]* DISTINCT [^\n]* FILTER [^\n]*\n[^\n]* FILTER [^\n]*",312,100,1000
13,"[^\n]* GROUP BY [^\n]* ORDER BY [^\n]*\n[^\n]* PREFIX [^\n]* SELECT [^\n]* GROUP BY [^\n]*",833,100,1000
14,"[^\n]* PREFIX [^\n]* OPTIONAL [^\n]* FILTER [^\n]*\n[^\n]* SELECT [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*",733,100,1000
15,"[^\n]* PREFIX [^\n]* SELECT [^\n]* FILTER [^\n]*\n[^\n]* OPTIONAL [^\n]* FILTER [^\n]*",312,100,1000
16,"[^\n]* AS [^\n]* WHERE [^\n]*\n[^\n]* PREFIX [^\n]* DISTINCT [^\n]*",873,100,1000
17,"[^\n]* SELECT [^\n]* WHERE [^\n]* GROUP BY [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]* ORDER BY [^\n]*",874,100,1000
18,"[^\n]* WHERE [^\n]* OPTIONAL [^\n]*\n[^\n]* AS [^\n]* WHERE [^\n]*",931,100,1000
19,"[^\n]* DISTINCT [^\n]* WHERE [^\n]* FILTER [^\n]*\n[^\n]* PREFIX [^\n]* SELECT [^\n]* FILTER [^\n]*",294,100,1000
20,"[^\n]* PREFIX [^\n]* WHERE [^\n]* FILTER [^\n]*\n[^\n]* DISTINCT [^\n]* FILTER [^\n]*",301,100,1000
21,"[^\n]* SELECT [^\n]* GROUP BY [^\n]*\n[^\n]* DISTINCT [^\n]* GROUP BY [^\n]*",860,100,1000
22,"[^\n]* OPTIONAL [^\n]* FILTER [^\n]*\n[^\n]* DISTINCT [^\n]* OPTIONAL [^\n]* FILTER [^\n]*",291,100,1000
23,"[^\n]* SELECT [^\n]* WHERE [^\n]* FILTER [^\n]*\n[^\n]* LIMIT [^\n]*",974,100,1000
24,"[^\n]* SELECT [^\n]* WHERE [^\n]* ORDER BY [^\n]*\n[^\n]* SELECT [^\n]* FILTER [^\n]*",119,100,1000
25,"[^\n]* SELECT [^\n]* WHERE [^\n]* LIMIT [^\n]*\n[^\n]* DISTINCT [^\n]* WHERE [^\n]* FILTER [^\n]*",115,100,1000
26,"[^\n]* SELECT [^\n]* OPTIONAL [^\n]* FILTER [^\n]*\n[^\n]* WHERE [^\n]* FILTER [^\n]*",383,100,1000
27,"[^\n]* SELECT [^\n]* OPTIONAL [^\n]* ORDER BY [^\n]*\n[^\n]* SELECT [^\n]* ORDER BY [^\n]*",833,100,1000
28,"[^\n]* WHERE [^\n]* GROUP BY [^\n]*\n[^\n]* PREFIX [^\n]* WHERE [^\n]* GROUP BY [^\n]*",868,100,1000
29,"[^\n]* FILTER [^\n]*\n[^\n]* SELECT [^\n]* LIMIT [^\n]*",913,100,1000
30,"[^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]* FILTER [^\n]*\n[^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*",733,100,1000
31,"[^\n]* PREFIX [^\n]* FILTER [^\n]*\n[^\n]* DISTINCT [^\n]* WHERE [^\n]* FILTER [^\n]*",301,100,1000
32,"[^\n]* SELECT [^\n]* WHERE [^\n]* ORDER BY [^\n]*\n[^\n]* WHERE [^\n]* FILTER [^\n]*",134,100,1000
33,"[^\n]* WHERE [^\n]* FILTER [^\n]*\n[^\n]* WHERE [^\n]* ORDER BY [^\n]*",119,100,1000
0,"[^\n]* PREFIX [^\n]* SELECT [^\n]* FILTER [^\n]*\n[^\n]* WHERE [^\n]* ORDER BY [^\n]*",56,10,100
1,"[^\n]* WHERE [^\n]* OPTIONAL [^\n]* FILTER [^\n]*\n[^\n]* SELECT [^\n]* GROUP BY [^\n]*",41,10,100
2,"[^\n]* PREFIX [^\n]* OPTIONAL [^\n]* ORDER BY [^\n]*\n[^\n]* OPTIONAL [^\n]* FILTER [^\n]*",54,10,100
3,"[^\n]* PREFIX [^\n]* FILTER [^\n]*\n[^\n]* ORDER BY [^\n]*",56,10,100
4,"[^\n]* WHERE [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]* ORDER BY [^\n]*",69,10,100
5,"[^\n]* GROUP BY [^\n]* ORDER BY [^\n]*\n[^\n]* WHERE [^\n]* OPTIONAL [^\n]* FILTER [^\n]*",54,10,100
6,"[^\n]* GROUP BY [^\n]* ORDER BY [^\n]*\n[^\n]* PREFIX [^\n]* OPTIONAL [^\n]* FILTER [^\n]*",50,10,100
7,"[^\n]* PREFIX [^\n]* FILTER [^\n]*\n[^\n]* GROUP BY [^\n]*",72,10,100
8,"[^\n]* OPTIONAL [^\n]* FILTER [^\n]*\n[^\n]* AS [^\n]* WHERE [^\n]*",38,10,100
9,"[^\n]* PREFIX [^\n]* ORDER BY [^\n]*\n[^\n]* PREFIX [^\n]* WHERE [^\n]* FILTER [^\n]*",64,10,100
10,"[^\n]* DISTINCT [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*\n[^\n]* SELECT [^\n]* GROUP BY [^\n]* ORDER BY [^\n]*",67,10,100
11,"[^\n]* PREFIX [^\n]* OPTIONAL [^\n]* FILTER [^\n]*\n[^\n]* PREFIX [^\n]* ORDER BY [^\n]*",23,10,100
12,"[^\n]* DISTINCT [^\n]* GROUP BY [^\n]*\n[^\n]* PREFIX [^\n]* DISTINCT [^\n]* FILTER [^\n]*",50,10,100
13,"[^\n]* GROUP BY [^\n]* ORDER BY [^\n]*\n[^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]* FILTER [^\n]*",50,10,100
14,"[^\n]* PREFIX [^\n]* FILTER [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]* ORDER BY [^\n]*",56,10,100
15,"[^\n]* WHERE [^\n]* ORDER BY [^\n]*\n[^\n]* DISTINCT [^\n]* OPTIONAL [^\n]* FILTER [^\n]*",52,10,100
16,"[^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*\n[^\n]* GROUP BY [^\n]*",99,10,100
17,"[^\n]* DISTINCT [^\n]* OPTIONAL [^\n]* FILTER [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]* LIMIT [^\n]*",62,10,100
18,"[^\n]* SELECT [^\n]* OPTIONAL [^\n]* ORDER BY [^\n]*\n[^\n]* WHERE [^\n]* FILTER [^\n]*",84,10,100
19,"[^\n]* SELECT [^\n]* OPTIONAL [^\n]* FILTER [^\n]*\n[^\n]* PREFIX [^\n]* WHERE [^\n]* GROUP BY [^\n]*",29,10,100
20,"[^\n]* DISTINCT [^\n]* GROUP BY [^\n]*\n[^\n]* OPTIONAL [^\n]* FILTER [^\n]*",54,10,100
21,"[^\n]* PREFIX [^\n]* PREFIX [^\n]* FILTER [^\n]*\n[^\n]* ORDER BY [^\n]*",28,10,100
22,"[^\n]* OPTIONAL [^\n]* FILTER [^\n]*\n[^\n]* SELECT [^\n]* GROUP BY [^\n]*",41,10,100
23,"[^\n]* PREFIX [^\n]* FILTER [^\n]*\n[^\n]* WHERE [^\n]* ORDER BY [^\n]*",56,10,100
24,"[^\n]* DISTINCT [^\n]* WHERE [^\n]* FILTER [^\n]*\n[^\n]* GROUP BY [^\n]* ORDER BY [^\n]*",23,10,100
25,"[^\n]* PREFIX [^\n]* WHERE [^\n]* FILTER [^\n]*\n[^\n]* ORDER BY [^\n]*",56,10,100
26,"[^\n]* SELECT [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*\n[^\n]* PREFIX [^\n]* OPTIONAL [^\n]* GROUP BY [^\n]*",67,10,100
27,"[^\n]* PREFIX [^\n]* PREFIX [^\n]* FILTER [^\n]*\n[^\n]* GROUP BY [^\n]* ORDER BY [^\n]*",24,10,100
28,"[^\n]* WHERE [^\n]* GROUP BY [^\n]*\n[^\n]* PREFIX [^\n]* DISTINCT [^\n]* FILTER [^\n]*",70,10,100
29,"[^\n]* AS [^\n]* WHERE [^\n]*\n[^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]* FILTER [^\n]*",58,10,100
30,"[^\n]* SELECT [^\n]* GROUP BY [^\n]* ORDER BY [^\n]*\n[^\n]* PREFIX [^\n]* PREFIX [^\n]* FILTER [^\n]*",51,10,100
31,"[^\n]* DISTINCT [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*\n[^\n]* WHERE [^\n]* GROUP BY [^\n]* ORDER BY [^\n]*",67,10,100
32,"[^\n]* AS [^\n]* WHERE [^\n]*\n[^\n]* DISTINCT [^\n]* OPTIONAL [^\n]* FILTER [^\n]*",58,10,100
33,"[^\n]* WHERE [^\n]* OPTIONAL [^\n]* FILTER [^\n]*\n[^\n]* SELECT [^\n]* OPTIONAL [^\n]* ORDER BY [^\n]*",26,10,100
