"","query","noutputs"
0,"\W!x{((a\w+|an\w+|\w+er)\W+){5}(a\w+|an\w+|\w+er)}\W",119
29,"\W!x{((a\w+|an\w+|\w+ant)\W+){5}(a\w+|an\w+|\w+ant)}\W",11
30,"\W!x{((a\w+|an\w+|\w+ity)\W+){5}(a\w+|an\w+|\w+ity)}\W",14
31,"\W!x{((a\w+|an\w+|\w+ness)\W+){5}(a\w+|an\w+|\w+ness)}\W",11
32,"\W!x{((a\w+|an\w+|\w+ance)\W+){5}(a\w+|an\w+|\w+ance)}\W",10
33,"\W!x{((a\w+|an\w+|\w+ful)\W+){5}(a\w+|an\w+|\w+ful)}\W",14
34,"\W!x{((a\w+|an\w+|im\w+)\W+){5}(a\w+|an\w+|im\w+)}\W",14
35,"\W!x{((a\w+|an\w+|\w+age)\W+){5}(a\w+|an\w+|\w+age)}\W",10
36,"\W!x{((a\w+|an\w+|\w+ish)\W+){5}(a\w+|an\w+|\w+ish)}\W",10
37,"\W!x{((a\w+|an\w+|\w+ic)\W+){5}(a\w+|an\w+|\w+ic)}\W",11
38,"\W!x{((a\w+|\w+er|co\w+)\W+){5}(a\w+|\w+er|co\w+)}\W",151
39,"\W!x{((a\w+|\w+er|\w+ly)\W+){5}(a\w+|\w+er|\w+ly)}\W",240
40,"\W!x{((a\w+|\w+er|be\w+)\W+){5}(a\w+|\w+er|be\w+)}\W",152
41,"\W!x{((a\w+|\w+er|re\w+)\W+){5}(a\w+|\w+er|re\w+)}\W",150
42,"\W!x{((a\w+|\w+er|\w+or)\W+){5}(a\w+|\w+er|\w+or)}\W",154
43,"\W!x{((a\w+|\w+er|\w+ion)\W+){5}(a\w+|\w+er|\w+ion)}\W",140
44,"\W!x{((a\w+|\w+er|in\w+)\W+){5}(a\w+|\w+er|in\w+)}\W",149
45,"\W!x{((a\w+|\w+er|de\w+)\W+){5}(a\w+|\w+er|de\w+)}\W",129
46,"\W!x{((a\w+|\w+er|di\w+)\W+){5}(a\w+|\w+er|di\w+)}\W",151
47,"\W!x{((a\w+|\w+er|\w+ent)\W+){5}(a\w+|\w+er|\w+ent)}\W",137
48,"\W!x{((a\w+|\w+er|\w+geo?\w+)\W+){5}(a\w+|\w+er|\w+geo?\w+)}\W",128
49,"\W!x{((a\w+|\w+er|\w+al)\W+){5}(a\w+|\w+er|\w+al)}\W",139
50,"\W!x{((a\w+|\w+er|com\w+)\W+){5}(a\w+|\w+er|com\w+)}\W",125
51,"\W!x{((a\w+|\w+er|con\w+)\W+){5}(a\w+|\w+er|con\w+)}\W",127
52,"\W!x{((a\w+|\w+er|un\w+)\W+){5}(a\w+|\w+er|un\w+)}\W",142
53,"\W!x{((a\w+|\w+er|ex\w+)\W+){5}(a\w+|\w+er|ex\w+)}\W",132
54,"\W!x{((a\w+|\w+er|en\w+)\W+){5}(a\w+|\w+er|en\w+)}\W",128
55,"\W!x{((a\w+|\w+er|pro\w+)\W+){5}(a\w+|\w+er|pro\w+)}\W",125
56,"\W!x{((a\w+|\w+er|\w+ation)\W+){5}(a\w+|\w+er|\w+ation)}\W",126
57,"\W!x{((a\w+|\w+er|\w+ive)\W+){5}(a\w+|\w+er|\w+ive)}\W",123
58,"\W!x{((a\w+|\w+er|dis\w+)\W+){5}(a\w+|\w+er|dis\w+)}\W",139
59,"\W!x{((a\w+|\w+er|\w+ous)\W+){5}(a\w+|\w+er|\w+ous)}\W",128
60,"\W!x{((a\w+|\w+er|\w+ate)\W+){5}(a\w+|\w+er|\w+ate)}\W",120
61,"\W!x{((a\w+|\w+er|\w+ure)\W+){5}(a\w+|\w+er|\w+ure)}\W",121
62,"\W!x{((a\w+|\w+er|pre\w+)\W+){5}(a\w+|\w+er|pre\w+)}\W",125
63,"\W!x{((a\w+|\w+er|\w+ment)\W+){5}(a\w+|\w+er|\w+ment)}\W",124
64,"\W!x{((a\w+|\w+er|\w+ence)\W+){5}(a\w+|\w+er|\w+ence)}\W",124
65,"\W!x{((a\w+|\w+er|\w+able)\W+){5}(a\w+|\w+er|\w+able)}\W",120
66,"\W!x{((a\w+|\w+er|\w+ant)\W+){5}(a\w+|\w+er|\w+ant)}\W",122
67,"\W!x{((a\w+|\w+er|\w+ity)\W+){5}(a\w+|\w+er|\w+ity)}\W",124
68,"\W!x{((a\w+|\w+er|\w+ness)\W+){5}(a\w+|\w+er|\w+ness)}\W",127
69,"\W!x{((a\w+|\w+er|\w+ance)\W+){5}(a\w+|\w+er|\w+ance)}\W",120
70,"\W!x{((a\w+|\w+er|\w+ful)\W+){5}(a\w+|\w+er|\w+ful)}\W",126
71,"\W!x{((a\w+|\w+er|im\w+)\W+){5}(a\w+|\w+er|im\w+)}\W",126
72,"\W!x{((a\w+|\w+er|\w+age)\W+){5}(a\w+|\w+er|\w+age)}\W",122
73,"\W!x{((a\w+|\w+er|\w+ish)\W+){5}(a\w+|\w+er|\w+ish)}\W",122
74,"\W!x{((a\w+|\w+er|\w+ic)\W+){5}(a\w+|\w+er|\w+ic)}\W",120
75,"\W!x{((a\w+|co\w+|\w+ly)\W+){5}(a\w+|co\w+|\w+ly)}\W",110
76,"\W!x{((a\w+|co\w+|be\w+)\W+){5}(a\w+|co\w+|be\w+)}\W",31
77,"\W!x{((a\w+|co\w+|re\w+)\W+){5}(a\w+|co\w+|re\w+)}\W",45
78,"\W!x{((a\w+|co\w+|\w+or)\W+){5}(a\w+|co\w+|\w+or)}\W",34
79,"\W!x{((a\w+|co\w+|\w+ion)\W+){5}(a\w+|co\w+|\w+ion)}\W",38
80,"\W!x{((a\w+|co\w+|in\w+)\W+){5}(a\w+|co\w+|in\w+)}\W",45
81,"\W!x{((a\w+|co\w+|de\w+)\W+){5}(a\w+|co\w+|de\w+)}\W",28
82,"\W!x{((a\w+|co\w+|di\w+)\W+){5}(a\w+|co\w+|di\w+)}\W",48
83,"\W!x{((a\w+|co\w+|\w+ent)\W+){5}(a\w+|co\w+|\w+ent)}\W",31
84,"\W!x{((a\w+|co\w+|\w+geo?\w+)\W+){5}(a\w+|co\w+|\w+geo?\w+)}\W",25
85,"\W!x{((a\w+|co\w+|\w+al)\W+){5}(a\w+|co\w+|\w+al)}\W",39
86,"\W!x{((a\w+|co\w+|com\w+)\W+){5}(a\w+|co\w+|com\w+)}\W",23
87,"\W!x{((a\w+|co\w+|con\w+)\W+){5}(a\w+|co\w+|con\w+)}\W",23
88,"\W!x{((a\w+|co\w+|un\w+)\W+){5}(a\w+|co\w+|un\w+)}\W",42
89,"\W!x{((a\w+|co\w+|ex\w+)\W+){5}(a\w+|co\w+|ex\w+)}\W",32
90,"\W!x{((a\w+|co\w+|en\w+)\W+){5}(a\w+|co\w+|en\w+)}\W",27
91,"\W!x{((a\w+|co\w+|pro\w+)\W+){5}(a\w+|co\w+|pro\w+)}\W",28
92,"\W!x{((a\w+|co\w+|\w+ation)\W+){5}(a\w+|co\w+|\w+ation)}\W",31
93,"\W!x{((a\w+|co\w+|\w+ive)\W+){5}(a\w+|co\w+|\w+ive)}\W",29
94,"\W!x{((a\w+|co\w+|dis\w+)\W+){5}(a\w+|co\w+|dis\w+)}\W",44
95,"\W!x{((a\w+|co\w+|\w+ous)\W+){5}(a\w+|co\w+|\w+ous)}\W",27
96,"\W!x{((a\w+|co\w+|\w+ate)\W+){5}(a\w+|co\w+|\w+ate)}\W",24
97,"\W!x{((a\w+|co\w+|\w+ure)\W+){5}(a\w+|co\w+|\w+ure)}\W",24
98,"\W!x{((a\w+|co\w+|pre\w+)\W+){5}(a\w+|co\w+|pre\w+)}\W",28
99,"\W!x{((a\w+|co\w+|\w+ment)\W+){5}(a\w+|co\w+|\w+ment)}\W",24
100,"\W!x{((a\w+|co\w+|\w+ence)\W+){5}(a\w+|co\w+|\w+ence)}\W",25
101,"\W!x{((a\w+|co\w+|\w+able)\W+){5}(a\w+|co\w+|\w+able)}\W",27
102,"\W!x{((a\w+|co\w+|\w+ant)\W+){5}(a\w+|co\w+|\w+ant)}\W",24
103,"\W!x{((a\w+|co\w+|\w+ity)\W+){5}(a\w+|co\w+|\w+ity)}\W",27
104,"\W!x{((a\w+|co\w+|\w+ness)\W+){5}(a\w+|co\w+|\w+ness)}\W",30
105,"\W!x{((a\w+|co\w+|\w+ance)\W+){5}(a\w+|co\w+|\w+ance)}\W",23
106,"\W!x{((a\w+|co\w+|\w+ful)\W+){5}(a\w+|co\w+|\w+ful)}\W",28
107,"\W!x{((a\w+|co\w+|im\w+)\W+){5}(a\w+|co\w+|im\w+)}\W",27
108,"\W!x{((a\w+|co\w+|\w+age)\W+){5}(a\w+|co\w+|\w+age)}\W",23
109,"\W!x{((a\w+|co\w+|\w+ish)\W+){5}(a\w+|co\w+|\w+ish)}\W",24
110,"\W!x{((a\w+|co\w+|\w+ic)\W+){5}(a\w+|co\w+|\w+ic)}\W",24
111,"\W!x{((a\w+|\w+ly|be\w+)\W+){5}(a\w+|\w+ly|be\w+)}\W",97
112,"\W!x{((a\w+|\w+ly|re\w+)\W+){5}(a\w+|\w+ly|re\w+)}\W",113
113,"\W!x{((a\w+|\w+ly|\w+or)\W+){5}(a\w+|\w+ly|\w+or)}\W",92
114,"\W!x{((a\w+|\w+ly|\w+ion)\W+){5}(a\w+|\w+ly|\w+ion)}\W",98
115,"\W!x{((a\w+|\w+ly|in\w+)\W+){5}(a\w+|\w+ly|in\w+)}\W",112
116,"\W!x{((a\w+|\w+ly|de\w+)\W+){5}(a\w+|\w+ly|de\w+)}\W",98
117,"\W!x{((a\w+|\w+ly|di\w+)\W+){5}(a\w+|\w+ly|di\w+)}\W",111
118,"\W!x{((a\w+|\w+ly|\w+ent)\W+){5}(a\w+|\w+ly|\w+ent)}\W",99
119,"\W!x{((a\w+|\w+ly|\w+geo?\w+)\W+){5}(a\w+|\w+ly|\w+geo?\w+)}\W",88
120,"\W!x{((a\w+|\w+ly|\w+al)\W+){5}(a\w+|\w+ly|\w+al)}\W",100
121,"\W!x{((a\w+|\w+ly|com\w+)\W+){5}(a\w+|\w+ly|com\w+)}\W",88
122,"\W!x{((a\w+|\w+ly|con\w+)\W+){5}(a\w+|\w+ly|con\w+)}\W",88
123,"\W!x{((a\w+|\w+ly|un\w+)\W+){5}(a\w+|\w+ly|un\w+)}\W",95
124,"\W!x{((a\w+|\w+ly|ex\w+)\W+){5}(a\w+|\w+ly|ex\w+)}\W",91
125,"\W!x{((a\w+|\w+ly|en\w+)\W+){5}(a\w+|\w+ly|en\w+)}\W",86
126,"\W!x{((a\w+|\w+ly|pro\w+)\W+){5}(a\w+|\w+ly|pro\w+)}\W",86
127,"\W!x{((a\w+|\w+ly|\w+ation)\W+){5}(a\w+|\w+ly|\w+ation)}\W",86
128,"\W!x{((a\w+|\w+ly|\w+ive)\W+){5}(a\w+|\w+ly|\w+ive)}\W",86
129,"\W!x{((a\w+|\w+ly|dis\w+)\W+){5}(a\w+|\w+ly|dis\w+)}\W",105
130,"\W!x{((a\w+|\w+ly|\w+ous)\W+){5}(a\w+|\w+ly|\w+ous)}\W",87
131,"\W!x{((a\w+|\w+ly|\w+ate)\W+){5}(a\w+|\w+ly|\w+ate)}\W",88
132,"\W!x{((a\w+|\w+ly|\w+ure)\W+){5}(a\w+|\w+ly|\w+ure)}\W",82
133,"\W!x{((a\w+|\w+ly|pre\w+)\W+){5}(a\w+|\w+ly|pre\w+)}\W",85
134,"\W!x{((a\w+|\w+ly|\w+ment)\W+){5}(a\w+|\w+ly|\w+ment)}\W",86
135,"\W!x{((a\w+|\w+ly|\w+ence)\W+){5}(a\w+|\w+ly|\w+ence)}\W",87
136,"\W!x{((a\w+|\w+ly|\w+able)\W+){5}(a\w+|\w+ly|\w+able)}\W",82
137,"\W!x{((a\w+|\w+ly|\w+ant)\W+){5}(a\w+|\w+ly|\w+ant)}\W",87
138,"\W!x{((a\w+|\w+ly|\w+ity)\W+){5}(a\w+|\w+ly|\w+ity)}\W",85
139,"\W!x{((a\w+|\w+ly|\w+ness)\W+){5}(a\w+|\w+ly|\w+ness)}\W",82
140,"\W!x{((a\w+|\w+ly|\w+ance)\W+){5}(a\w+|\w+ly|\w+ance)}\W",84
141,"\W!x{((a\w+|\w+ly|\w+ful)\W+){5}(a\w+|\w+ly|\w+ful)}\W",92
142,"\W!x{((a\w+|\w+ly|im\w+)\W+){5}(a\w+|\w+ly|im\w+)}\W",86
143,"\W!x{((a\w+|\w+ly|\w+age)\W+){5}(a\w+|\w+ly|\w+age)}\W",81
144,"\W!x{((a\w+|\w+ly|\w+ish)\W+){5}(a\w+|\w+ly|\w+ish)}\W",82
145,"\W!x{((a\w+|\w+ly|\w+ic)\W+){5}(a\w+|\w+ly|\w+ic)}\W",83
146,"\W!x{((a\w+|be\w+|re\w+)\W+){5}(a\w+|be\w+|re\w+)}\W",31
147,"\W!x{((a\w+|be\w+|\w+or)\W+){5}(a\w+|be\w+|\w+or)}\W",22
148,"\W!x{((a\w+|be\w+|\w+ion)\W+){5}(a\w+|be\w+|\w+ion)}\W",27
149,"\W!x{((a\w+|be\w+|in\w+)\W+){5}(a\w+|be\w+|in\w+)}\W",32
150,"\W!x{((a\w+|be\w+|de\w+)\W+){5}(a\w+|be\w+|de\w+)}\W",18
151,"\W!x{((a\w+|be\w+|di\w+)\W+){5}(a\w+|be\w+|di\w+)}\W",38
152,"\W!x{((a\w+|be\w+|\w+ent)\W+){5}(a\w+|be\w+|\w+ent)}\W",19
153,"\W!x{((a\w+|be\w+|\w+geo?\w+)\W+){5}(a\w+|be\w+|\w+geo?\w+)}\W",17
154,"\W!x{((a\w+|be\w+|\w+al)\W+){5}(a\w+|be\w+|\w+al)}\W",27
155,"\W!x{((a\w+|be\w+|com\w+)\W+){5}(a\w+|be\w+|com\w+)}\W",18
156,"\W!x{((a\w+|be\w+|con\w+)\W+){5}(a\w+|be\w+|con\w+)}\W",18
157,"\W!x{((a\w+|be\w+|un\w+)\W+){5}(a\w+|be\w+|un\w+)}\W",28
158,"\W!x{((a\w+|be\w+|ex\w+)\W+){5}(a\w+|be\w+|ex\w+)}\W",23
159,"\W!x{((a\w+|be\w+|en\w+)\W+){5}(a\w+|be\w+|en\w+)}\W",21
160,"\W!x{((a\w+|be\w+|pro\w+)\W+){5}(a\w+|be\w+|pro\w+)}\W",18
161,"\W!x{((a\w+|be\w+|\w+ation)\W+){5}(a\w+|be\w+|\w+ation)}\W",19
162,"\W!x{((a\w+|be\w+|\w+ive)\W+){5}(a\w+|be\w+|\w+ive)}\W",19
163,"\W!x{((a\w+|be\w+|dis\w+)\W+){5}(a\w+|be\w+|dis\w+)}\W",33
164,"\W!x{((a\w+|be\w+|\w+ous)\W+){5}(a\w+|be\w+|\w+ous)}\W",18
165,"\W!x{((a\w+|be\w+|\w+ate)\W+){5}(a\w+|be\w+|\w+ate)}\W",15
166,"\W!x{((a\w+|be\w+|\w+ure)\W+){5}(a\w+|be\w+|\w+ure)}\W",16
167,"\W!x{((a\w+|be\w+|pre\w+)\W+){5}(a\w+|be\w+|pre\w+)}\W",20
168,"\W!x{((a\w+|be\w+|\w+ment)\W+){5}(a\w+|be\w+|\w+ment)}\W",16
169,"\W!x{((a\w+|be\w+|\w+ence)\W+){5}(a\w+|be\w+|\w+ence)}\W",18
170,"\W!x{((a\w+|be\w+|\w+able)\W+){5}(a\w+|be\w+|\w+able)}\W",15
171,"\W!x{((a\w+|be\w+|\w+ant)\W+){5}(a\w+|be\w+|\w+ant)}\W",16
172,"\W!x{((a\w+|be\w+|\w+ity)\W+){5}(a\w+|be\w+|\w+ity)}\W",19
173,"\W!x{((a\w+|be\w+|\w+ness)\W+){5}(a\w+|be\w+|\w+ness)}\W",18
174,"\W!x{((a\w+|be\w+|\w+ance)\W+){5}(a\w+|be\w+|\w+ance)}\W",16
175,"\W!x{((a\w+|be\w+|\w+ful)\W+){5}(a\w+|be\w+|\w+ful)}\W",20
176,"\W!x{((a\w+|be\w+|im\w+)\W+){5}(a\w+|be\w+|im\w+)}\W",19
177,"\W!x{((a\w+|be\w+|\w+age)\W+){5}(a\w+|be\w+|\w+age)}\W",16
178,"\W!x{((a\w+|be\w+|\w+ish)\W+){5}(a\w+|be\w+|\w+ish)}\W",15
179,"\W!x{((a\w+|be\w+|\w+ic)\W+){5}(a\w+|be\w+|\w+ic)}\W",16
180,"\W!x{((a\w+|re\w+|\w+or)\W+){5}(a\w+|re\w+|\w+or)}\W",35
181,"\W!x{((a\w+|re\w+|\w+ion)\W+){5}(a\w+|re\w+|\w+ion)}\W",37
182,"\W!x{((a\w+|re\w+|in\w+)\W+){5}(a\w+|re\w+|in\w+)}\W",38
183,"\W!x{((a\w+|re\w+|de\w+)\W+){5}(a\w+|re\w+|de\w+)}\W",32
184,"\W!x{((a\w+|re\w+|di\w+)\W+){5}(a\w+|re\w+|di\w+)}\W",49
185,"\W!x{((a\w+|re\w+|\w+ent)\W+){5}(a\w+|re\w+|\w+ent)}\W",31
186,"\W!x{((a\w+|re\w+|\w+geo?\w+)\W+){5}(a\w+|re\w+|\w+geo?\w+)}\W",28
187,"\W!x{((a\w+|re\w+|\w+al)\W+){5}(a\w+|re\w+|\w+al)}\W",38
188,"\W!x{((a\w+|re\w+|com\w+)\W+){5}(a\w+|re\w+|com\w+)}\W",30
189,"\W!x{((a\w+|re\w+|con\w+)\W+){5}(a\w+|re\w+|con\w+)}\W",29
190,"\W!x{((a\w+|re\w+|un\w+)\W+){5}(a\w+|re\w+|un\w+)}\W",39
191,"\W!x{((a\w+|re\w+|ex\w+)\W+){5}(a\w+|re\w+|ex\w+)}\W",31
192,"\W!x{((a\w+|re\w+|en\w+)\W+){5}(a\w+|re\w+|en\w+)}\W",29
193,"\W!x{((a\w+|re\w+|pro\w+)\W+){5}(a\w+|re\w+|pro\w+)}\W",29
194,"\W!x{((a\w+|re\w+|\w+ation)\W+){5}(a\w+|re\w+|\w+ation)}\W",27
195,"\W!x{((a\w+|re\w+|\w+ive)\W+){5}(a\w+|re\w+|\w+ive)}\W",28
196,"\W!x{((a\w+|re\w+|dis\w+)\W+){5}(a\w+|re\w+|dis\w+)}\W",45
197,"\W!x{((a\w+|re\w+|\w+ous)\W+){5}(a\w+|re\w+|\w+ous)}\W",28
198,"\W!x{((a\w+|re\w+|\w+ate)\W+){5}(a\w+|re\w+|\w+ate)}\W",25
199,"\W!x{((a\w+|re\w+|\w+ure)\W+){5}(a\w+|re\w+|\w+ure)}\W",26
200,"\W!x{((a\w+|re\w+|pre\w+)\W+){5}(a\w+|re\w+|pre\w+)}\W",31
201,"\W!x{((a\w+|re\w+|\w+ment)\W+){5}(a\w+|re\w+|\w+ment)}\W",27
202,"\W!x{((a\w+|re\w+|\w+ence)\W+){5}(a\w+|re\w+|\w+ence)}\W",29
203,"\W!x{((a\w+|re\w+|\w+able)\W+){5}(a\w+|re\w+|\w+able)}\W",28
204,"\W!x{((a\w+|re\w+|\w+ant)\W+){5}(a\w+|re\w+|\w+ant)}\W",26
205,"\W!x{((a\w+|re\w+|\w+ity)\W+){5}(a\w+|re\w+|\w+ity)}\W",31
206,"\W!x{((a\w+|re\w+|\w+ness)\W+){5}(a\w+|re\w+|\w+ness)}\W",28
207,"\W!x{((a\w+|re\w+|\w+ance)\W+){5}(a\w+|re\w+|\w+ance)}\W",25
208,"\W!x{((a\w+|re\w+|\w+ful)\W+){5}(a\w+|re\w+|\w+ful)}\W",30
209,"\W!x{((a\w+|re\w+|im\w+)\W+){5}(a\w+|re\w+|im\w+)}\W",31
210,"\W!x{((a\w+|re\w+|\w+age)\W+){5}(a\w+|re\w+|\w+age)}\W",25
211,"\W!x{((a\w+|re\w+|\w+ish)\W+){5}(a\w+|re\w+|\w+ish)}\W",28
212,"\W!x{((a\w+|re\w+|\w+ic)\W+){5}(a\w+|re\w+|\w+ic)}\W",27
213,"\W!x{((a\w+|\w+or|\w+ion)\W+){5}(a\w+|\w+or|\w+ion)}\W",30
214,"\W!x{((a\w+|\w+or|in\w+)\W+){5}(a\w+|\w+or|in\w+)}\W",32
215,"\W!x{((a\w+|\w+or|de\w+)\W+){5}(a\w+|\w+or|de\w+)}\W",20
216,"\W!x{((a\w+|\w+or|di\w+)\W+){5}(a\w+|\w+or|di\w+)}\W",37
217,"\W!x{((a\w+|\w+or|\w+ent)\W+){5}(a\w+|\w+or|\w+ent)}\W",21
218,"\W!x{((a\w+|\w+or|\w+geo?\w+)\W+){5}(a\w+|\w+or|\w+geo?\w+)}\W",16
219,"\W!x{((a\w+|\w+or|\w+al)\W+){5}(a\w+|\w+or|\w+al)}\W",27
220,"\W!x{((a\w+|\w+or|com\w+)\W+){5}(a\w+|\w+or|com\w+)}\W",20
221,"\W!x{((a\w+|\w+or|con\w+)\W+){5}(a\w+|\w+or|con\w+)}\W",18
222,"\W!x{((a\w+|\w+or|un\w+)\W+){5}(a\w+|\w+or|un\w+)}\W",26
223,"\W!x{((a\w+|\w+or|ex\w+)\W+){5}(a\w+|\w+or|ex\w+)}\W",22
224,"\W!x{((a\w+|\w+or|en\w+)\W+){5}(a\w+|\w+or|en\w+)}\W",21
225,"\W!x{((a\w+|\w+or|pro\w+)\W+){5}(a\w+|\w+or|pro\w+)}\W",18
226,"\W!x{((a\w+|\w+or|\w+ation)\W+){5}(a\w+|\w+or|\w+ation)}\W",19
227,"\W!x{((a\w+|\w+or|\w+ive)\W+){5}(a\w+|\w+or|\w+ive)}\W",20
228,"\W!x{((a\w+|\w+or|dis\w+)\W+){5}(a\w+|\w+or|dis\w+)}\W",34
229,"\W!x{((a\w+|\w+or|\w+ous)\W+){5}(a\w+|\w+or|\w+ous)}\W",19
230,"\W!x{((a\w+|\w+or|\w+ate)\W+){5}(a\w+|\w+or|\w+ate)}\W",15
231,"\W!x{((a\w+|\w+or|\w+ure)\W+){5}(a\w+|\w+or|\w+ure)}\W",16
232,"\W!x{((a\w+|\w+or|pre\w+)\W+){5}(a\w+|\w+or|pre\w+)}\W",19
233,"\W!x{((a\w+|\w+or|\w+ment)\W+){5}(a\w+|\w+or|\w+ment)}\W",18
234,"\W!x{((a\w+|\w+or|\w+ence)\W+){5}(a\w+|\w+or|\w+ence)}\W",21
235,"\W!x{((a\w+|\w+or|\w+able)\W+){5}(a\w+|\w+or|\w+able)}\W",17
236,"\W!x{((a\w+|\w+or|\w+ant)\W+){5}(a\w+|\w+or|\w+ant)}\W",18
237,"\W!x{((a\w+|\w+or|\w+ity)\W+){5}(a\w+|\w+or|\w+ity)}\W",20
238,"\W!x{((a\w+|\w+or|\w+ness)\W+){5}(a\w+|\w+or|\w+ness)}\W",18
239,"\W!x{((a\w+|\w+or|\w+ance)\W+){5}(a\w+|\w+or|\w+ance)}\W",16
240,"\W!x{((a\w+|\w+or|\w+ful)\W+){5}(a\w+|\w+or|\w+ful)}\W",19
241,"\W!x{((a\w+|\w+or|im\w+)\W+){5}(a\w+|\w+or|im\w+)}\W",19
242,"\W!x{((a\w+|\w+or|\w+age)\W+){5}(a\w+|\w+or|\w+age)}\W",16
243,"\W!x{((a\w+|\w+or|\w+ish)\W+){5}(a\w+|\w+or|\w+ish)}\W",16
244,"\W!x{((a\w+|\w+or|\w+ic)\W+){5}(a\w+|\w+or|\w+ic)}\W",16
245,"\W!x{((a\w+|\w+ion|in\w+)\W+){5}(a\w+|\w+ion|in\w+)}\W",36
246,"\W!x{((a\w+|\w+ion|de\w+)\W+){5}(a\w+|\w+ion|de\w+)}\W",25
247,"\W!x{((a\w+|\w+ion|di\w+)\W+){5}(a\w+|\w+ion|di\w+)}\W",45
248,"\W!x{((a\w+|\w+ion|\w+ent)\W+){5}(a\w+|\w+ion|\w+ent)}\W",26
249,"\W!x{((a\w+|\w+ion|\w+geo?\w+)\W+){5}(a\w+|\w+ion|\w+geo?\w+)}\W",27
250,"\W!x{((a\w+|\w+ion|\w+al)\W+){5}(a\w+|\w+ion|\w+al)}\W",36
251,"\W!x{((a\w+|\w+ion|com\w+)\W+){5}(a\w+|\w+ion|com\w+)}\W",26
252,"\W!x{((a\w+|\w+ion|con\w+)\W+){5}(a\w+|\w+ion|con\w+)}\W",25
253,"\W!x{((a\w+|\w+ion|un\w+)\W+){5}(a\w+|\w+ion|un\w+)}\W",34
254,"\W!x{((a\w+|\w+ion|ex\w+)\W+){5}(a\w+|\w+ion|ex\w+)}\W",29
255,"\W!x{((a\w+|\w+ion|en\w+)\W+){5}(a\w+|\w+ion|en\w+)}\W",26
256,"\W!x{((a\w+|\w+ion|pro\w+)\W+){5}(a\w+|\w+ion|pro\w+)}\W",24
257,"\W!x{((a\w+|\w+ion|\w+ation)\W+){5}(a\w+|\w+ion|\w+ation)}\W",22
